index,asin,url,title,price,description
0,B00KVSWX7Y,https://www.amazon.com/dp/B00KVSWX7Y,Long Put Ladder Spread: A Simple Options Trading Strategy for Consistent Profits,0.99,"A Simple, Proven Options Trading Strategy For Consistent ProfitsIn this book, you’ll learn about a simple, proven options trading strategy called a long put ladder spread. Not only will you learn what a long put ladder spread is, and when to use one, but you’ll be taken—step-by-step—through how to execute the strategy to help you make consistent profits as an options trader.Here are some of the specifics you'll learn...- When you should consider using a long put ladder spread-- Chapter 1- The advantages of using a long put ladder spread-- Chapter 2- A step-by-step example of how to execute a long put ladder spread-- Chapter 3- A detailed walk through of all the possible outcomes-- Chapter 4- The risk and reward dynamics of this options trading strategy-- Chapter 5- A detailed ""cheatsheet"" diagram of the potential profit and loss associated with this options trading strategy-- Chapter 5- And much much more!Download your copy today!"
1,B00CSJ9WPK,https://www.amazon.com/dp/B00CSJ9WPK,Dhandha: How Gujratis Do Business,3.99,"Dhandha, meaning business, is a term often used in common trade parlance in India. But there is no other community that fully embodies what the term stands for than the Gujaratis. Shobha Bondre’s Dhandha is the story of a few such Gujaratis: Jaydev Patel—the New York Life Insurance agent credited with having sold policies worth $2.5 billion so far; Bhimjibhai Patel—one of the country’s biggest diamond merchants and co-founder of the ambitious ‘Diamond Nagar’ in Surat; Dalpatbhai Patel—the motelier who went on to become the mayor of Mansfield County; Mohanbhai Patel—a former Sheriff of Mumbai and the leading manufacturer of aluminium collapsible tubes; and Hersha and Hasu Shah—owners of over a hundred hotels in the US. Travelling across continents—from Mumbai to the United States—in search of their story and the common values that bond them, Dhandha showcases the powerful ambition, incredible capacity for hard work, and the inherent business sense of the Gujaratis."
2,B0096IWU5U,https://www.amazon.com/dp/B0096IWU5U,"Diary of a Bad, Bad Bookkeeper:  A Cautionary Embezzlement Tale for Small Business Owners Everywhere",2.99,"What People are Saying About The Diary of a Bad, Bad Bookkeeper:  ""Straight to the point and written well, thanks much for the information.""  - B. Sutcliffe""I have huge reservations about working with valuables because if something goes wrong at work, it would be a big deal. In the past, I have been too naive and trusting, so I want to make sure no thief uses my role as bookkeeper to 'set me up' like a Patsy, to take their fall. Your (book) is helping me know how to demonstrate rightful behavior, and how to spot any deviousness in others. I know most people are trustworthy, but this job puts me in a vulnerable position... Thanks for your words of wisdom."" - K.A. Jagelski*******************************************************************************************Meet Betty Bookkeeper.  She's an embezzler and she's stealing thousands of dollars a month from her unsuspecting Small Business Owner boss.  Her boss has absolutely no idea because she seems like such a good woman.  It's that trust which makes it so tempting and so easy for Betty to steal.  Do you have a Betty Bookkeeper?  Or are you a Bookkeeper who worries about protecting your reputation?  Then this book is for you.  This book is a work of fiction with some non-fiction advice.  It was originally written to help small business owners spot and stop embezzlement in their small business companies.  While there are tons of books about stopping embezzlement in a corporate level, there are very few that talk about embezzlement on a Small Business scale.  This book details out 16 common bookkeeping scams and how to stop them.  It also gives a brief overview at the end of how to do a Quickie Audit and see if your current bookkeeper is a ""Betty Bookkeeper.""  Some of the common business scams include:  * The Double Payday Scam* The Phishing Scam * The PayPal Weak Link * The Shell Company Scam* The Payroll Tax Scam...And many more.  If you have EVER worried that a bookkeeper is stealing from you, or if you are a bookkeeper who wants to protect yourself from being accused of embezzlement, get this book and put the practices to use.  It could save your lifestyle.  WARNING:  This book will scare you silly if you are a business owner.  Betty has a twisted sense of humor and is not afraid to use it.  At roughly 15,000 words, it is a fast read that will either make you laugh or cry."
3,B00866873W,https://www.amazon.com/dp/B00866873W,A Guide to Starting and Developing a New Business (Make Business Your Business),0.00,"A short guide developed by Lord Young, the Prime Minister’s adviser on small business and enterprise, to help you turn your business idea into reality.  It provides useful hints, advice and further support."
4,B00H1QQJQA,https://www.amazon.com/dp/B00H1QQJQA,Foreign Invaders: An Autoimmune Disease Journey through Monsanto’s World of Genetically Modified (GM) Food,3.99,"""A must-read for anyone dealing with health issues or wanting to learn more about eating cleaner, avoiding toxins, and improving diet!""Whether or not you have a chronic illness or you are caught up in the autoimmune epidemic, genetically modified foods are a health risk. After being diagnosed with autoimmune disease and being disappointed by doctor after doctor, Dara Jones set off on a mission to recover her health with real food. In the footsteps of Robyn O’Brien, author of The Unhealthy Truth, Dara takes you on her journey through Monsanto’s world of GMO foods.  After reading it, you’ll be empowered to take the reins of your own health and will never look at your grocery store shelves the same way.  In this personal account of her ongoing health recovery from autoimmune thyroid and Lyme disease, Foreign Invaders takes a practical look at the role of genetically modified organisms (GMOs) in the healing process.  How does a veteran of the business world and scientific layperson sort through the controversy and hysteria surrounding genetically modified foods?  Are they helpful or harmful when trying to bring the immune system back into balance?  Do they add or subtract from the body’s toxic burden?  Are GMOs friend or foe to the chronically ill? Foreign invader or familiar and recognizable?  The stakes are high.  There are currently 100 different autoimmune diseases identified including type-1 diabetes, multiple sclerosis, rheumatoid arthritis, Crohn's disease, Graves disease, Hashitomotos and lupus.  50 million Americans, or 1 in 5, have one of these diseases and 75 percent are women.  Autoimmune disease is now one of the top 10 leading causes of death of women under the age of 65.  It is responsible for more than $100 billion in direct health care costs annually in the US.   In this engaging, honest and informative work, the determined and pragmatic author presents her experience navigating the healthcare system, research into what constitutes a healing diet and conclusions about consuming genetically modified foods.  Topics covered include autoimmune disease, inflammation, food intolerance and food allergies, the health risks and food safety issues of GMOs, the process of creating genetically engineered food, the impact of pesticides on the immune system and a brief discussion of sustainability, environmental and social justice issues. If you’ve been diagnosed with a chronic illness, autoimmune disorder or Lyme Disease, grab a copy of this book today."
5,B00JYK3A8G,https://www.amazon.com/dp/B00JYK3A8G,Procrastination: Stop Procrastination NOW - The Ultimate Guide to Stop Procrastinating For Life!: Procrastination,2.99,"Discover How To Stop Procrastinating For Life!Today only, get this Kindle e-book for just $2.99. Regularly priced at $8.49. Read on your PC, Mac, smart phone, tablet or Kindle device.This book contains proven steps and strategies on how to stop procrastination; the habit of doing unnecessary activities before the important ones. Ever found yourself postponing for tomorrow something that should have been finished today? Do not worry because everybody does, at least once in a while. But if setting aside work for something insignificant becomes a habit, then that could lead to more problems and unproductivity. Procrastination has always been a huge problem to almost everyone. Everyone procrastinates but there are some who deliberately do so and totally leave out the responsibilities they should have been taking care of. Some say that it is their way of getting ready for a huge job while some say that they work better under pressure but usually, those are just the excuses procrastinators make.Since years ago, people started on analyzing what procrastination really is and how to stop this disruptive behavior, and this book is the summary of them all. Learn to handle your responsibilities in a precisely convenient manner and realize how beating the deadline is not always an exciting feat. Enjoy life free of negative procrastination and the stresses it brings. Draw out the best quality in every work you do and be recognized because of it. This book will help you achieve all that. Stop procrastination now and bring out the best in you. Here Is A Preview Of What You'll Learn... Understanding Procrastination  Reasons and Solutions  The Power of Self Talk  Structured Procrastination  Much, much more!Download your copy today!Take action today and download this book for a limited time discount of only $2.99!"
6,B00IGZOSBS,https://www.amazon.com/dp/B00IGZOSBS,100% Focused: 25 Great Ways To Improve Your Focus And Concentration (How To Be 100%),0.99,"The minds of successful people are well organized and have the ability to focus. If you want to make the most out of your life, developing this kind of mind is essential.The big challenge in achieving this goal is being in a culture that glorifies amount of work done rather than high quality work. Most low-level jobs, where young adults are hired, require very little creativity and critical thinking. This creates a culture of taking shortcuts to achieve objectives that we are not really passionate about.Because of the advancement of consumer electronic technology, we are surrounded by distractions that are constantly craving engagement. The engagement we give these distractions is taking away our ability to focus on the things that really matter. If we could just spend less time tapping our smart phones, we could do a whole lot more with our waking hours.Indulging in these distractions also promotes the practice of constantly switching attentions. This habit kills our ability to focus. People who have this kind of habit often become uncomfortable when doing one thing for a long period of time. They lack the ability to continue working, especially if the task is very boring.Luckily, there are ways to rehabilitate our ability to focus. We can enhance our minds and condition them to be ready for tasks that require prolonged attention. However, we need to develop habits and practice some exercises to be able to accomplish this. This book provides you with these habits and the exercises. They will help you develop a mind capable to concentrating for longer periods of time. There is no ultimate technique that will work for everyone. That is why we provide you with 25 techniques. If the first tip will not work for you, you still have 24 chances to improve your focus. Begin working on your ability to concentrate today."
7,B00D6M91IG,https://www.amazon.com/dp/B00D6M91IG,How to Start a Creative Business - A Glossary of Over 130 Terms for Creative Entrepreneurs,0.00,"This invaluable glossary of terms can be used alongside Doug's brilliant new book, How to Start a Creative Business, a must-have for any creative-type wanting to start their own venture. This glossary of terms provides you with the basic tools for starting a sustainable, viable, creative business. It shows you that the 'business terms' that you need to know for your creative business do not have to be scary or confusing, they are all easy to understand and will be invaluable for setting up your business."
8,B00GBGW5VO,https://www.amazon.com/dp/B00GBGW5VO,The NEW Game of Selling,2.99,"In The NEW Game of Selling™, sales master Mitch Axelrod has boiled down 75,000 hours of selling experience into one succinct playbook that shows you how to win the sales game in any industry and in any economy. Unlike the old game of selling, the NEW Game of Selling is about serving people and solving problems, rather than focusing on your products and company profits. The NEW Game of Selling playbook changes the playing field, and contains five plays to win the NEW Game:Attract people who are searching for what you sell and are ready to buy it now, without ever having to make a cold call againQualify a person as ready or getting ready in 5 to 10 minutes and know who best to spend your time withConvert browsers into buyers and transform expensive marketing into profitable sales and incomeKeep existing customers coming back and buying more with a service model that also reactivates past buyersMultiply your ROI with three strategies that increase customer value and boost your bottom-line profitsThe NEW Game of Selling represents sales strategies that have proven profitable for 35 years, created billions of dollars of new revenue for thousands of companies, and elevated the game of hundreds of thousands of professionals. This book is short – you can read it in about an hour. This book is deep – you can use it for the rest of your life. The NEW Game of Selling just may be the last sales book you’ll ever need."
9,B00850W834,https://www.amazon.com/dp/B00850W834,,,
10,B0049H94PW,https://www.amazon.com/dp/B0049H94PW,My Book Isn't Selling! The Chargan Book of Marketing Ideas,0.99,"So you've published your book but it is not selling? The publishing world is highly competitive, and the advent of ebooks has changed the landscape further in 2010. How you do make your book stand out? This book contains practical ideas that you should pursue to start generating sales."
11,B009YZKKB6,https://www.amazon.com/dp/B009YZKKB6,"Beekeeping 101:  Why I Keep Honey Bees (and why you should, too!): Keys to your success",0.99,"Everyone, or so it seems, is interested in keeping some bees, thanks largely to a mysterious disease known as Colony Collapse Disorder (CCD).  But most of these people have no idea on what it takes to raise bees, where to place the hive, where to obtain bees and how much the bee equipment costs.Grant Gillard, a beekeeper since 1981, shares his passion and enthusiasm as to why he keeps bees, and how he stays motivated despite receiving bee stings every time he works his bees.  He also shares the delight of harvesting and selling honey at several local farmer's markets.This manuscript helps you define your purpose as to WHY you want to keep honeybees, but also how you allow your purpose to fuel your vision of where you might want to go (or where you might want your bees to take you!).Grant shares some ""how to"" techniques on getting started, but also richly expresses his philosophical reasons for keeping honeybees.  A must read BEFORE you decide to enter into this fanscinating hobby of the honey bee."
12,B00E3USFHS,https://www.amazon.com/dp/B00E3USFHS,The 3 Secrets To Great Networking,9.99,"Learn how to be a great networker with the 3 secrets to great networking. This book covers everything you need to be a great networker, do so effortlessly and also covers some underlying principles to good networking and communication, exercises for getting over hurdles to good networking such as Limiting Beliefs and tools and techniques for making the most of your networking skills including how to manage and maintain your network."
